Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2023-10-25 18:52:04,"Leg Day🦵",1h 12min,"Leg Press",2,257.0,12.0,0,0.0,
2023-10-25 18:52:04,"Leg Day🦵",1h 12min,"Leg Press",3,277.0,12.0,0,0.0,
2023-10-25 18:52:04,"Leg Day🦵",1h 12min,"Leg Press",4,307.0,12.0,0,0.0,
2023-10-25 18:52:04,"Leg Day🦵",1h 12min,"Leg Press",1,167.0,12.0,0,0.0,
2023-10-25 18:52:04,"Leg Day🦵",1h 12min,"Seated Leg Curl (Machine)",5,80.0,12.0,0,0.0,
2023-10-25 18:52:04,"Leg Day🦵",1h 12min,"Seated Leg Curl (Machine)",2,100.0,12.0,0,0.0,
2023-10-25 18:52:04,"Leg Day🦵",1h 12min,"Seated Leg Curl (Machine)",1,90.0,12.0,0,0.0,
2023-10-25 18:52:04,"Leg Day🦵",1h 12min,"Seated Leg Curl (Machine)",4,80.0,11.0,0,0.0,
2023-10-25 18:52:04,"Leg Day🦵",1h 12min,"Seated Leg Curl (Machine)",3,80.0,12.0,0,0.0,
2023-10-25 18:52:04,"Leg Day🦵",1h 12min,"Calf Press on Leg Press",4,347.0,12.0,0,0.0,
2023-10-25 18:52:04,"Leg Day🦵",1h 12min,"Calf Press on Leg Press",1,257.0,12.0,0,0.0,
2023-10-25 18:52:04,"Leg Day🦵",1h 12min,"Calf Press on Leg Press",3,347.0,12.0,0,0.0,
2023-10-25 18:52:04,"Leg Day🦵",1h 12min,"Calf Press on Leg Press",2,307.0,12.0,0,0.0,
2023-10-25 18:52:04,"Leg Day🦵",1h 12min,"Chest Fly",1,70.0,12.0,0,0.0,
2023-10-25 18:52:04,"Leg Day🦵",1h 12min,"Chest Fly",4,80.0,8.0,0,0.0,
2023-10-25 18:52:04,"Leg Day🦵",1h 12min,"Chest Fly",3,90.0,11.0,0,0.0,
2023-10-25 18:52:04,"Leg Day🦵",1h 12min,"Chest Fly",2,90.0,12.0,0,0.0,
2023-10-28 19:57:48,"Arm Day",58min,"Bench Press (Barbell)",4,95.0,6.0,0,0.0,
2023-10-28 19:57:48,"Arm Day",58min,"Bench Press (Barbell)",3,95.0,9.0,0,0.0,
2023-10-28 19:57:48,"Arm Day",58min,"Bench Press (Barbell)",1,65.0,12.0,0,0.0,
2023-10-28 19:57:48,"Arm Day",58min,"Bench Press (Barbell)",2,95.0,12.0,0,0.0,
2023-10-28 19:57:48,"Arm Day",58min,"Lateral Raise (Dumbbell)",1,10.0,12.0,0,0.0,
2023-10-28 19:57:48,"Arm Day",58min,"Lateral Raise (Dumbbell)",2,10.0,12.0,0,0.0,
2023-10-28 19:57:48,"Arm Day",58min,"Lateral Raise (Dumbbell)",3,10.0,12.0,0,0.0,
2023-10-28 19:57:48,"Arm Day",58min,"Incline Curl (Dumbbell)",1,15.0,12.0,0,0.0,
2023-10-28 19:57:48,"Arm Day",58min,"Incline Curl (Dumbbell)",3,17.5,10.0,0,0.0,
2023-10-28 19:57:48,"Arm Day",58min,"Incline Curl (Dumbbell)",2,17.5,10.0,0,0.0,
2023-10-28 19:57:48,"Arm Day",58min,"Triceps Dip (Assisted)",3,50.0,12.0,0,0.0,
2023-10-28 19:57:48,"Arm Day",58min,"Triceps Dip (Assisted)",1,35.0,12.0,0,0.0,
2023-10-28 19:57:48,"Arm Day",58min,"Triceps Dip (Assisted)",2,45.0,8.0,0,0.0,
2023-10-28 19:57:48,"Arm Day",58min,"Pull Up (Assisted)",1,45.0,12.0,0,0.0,
2023-10-28 19:57:48,"Arm Day",58min,"Pull Up (Assisted)",2,45.0,12.0,0,0.0,
2023-10-28 19:57:48,"Arm Day",58min,"Pull Up (Assisted)",3,45.0,5.0,0,0.0,
2023-11-01 21:53:42,"Arm Day Copy",57min,"Bench Press (Barbell)",1,65.0,13.0,0,0.0,
2023-11-01 21:53:42,"Arm Day Copy",57min,"Bench Press (Barbell)",2,95.0,12.0,0,0.0,
2023-11-01 21:53:42,"Arm Day Copy",57min,"Bench Press (Barbell)",4,95.0,11.0,0,0.0,
2023-11-01 21:53:42,"Arm Day Copy",57min,"Bench Press (Barbell)",3,95.0,10.0,0,0.0,
2023-11-01 21:53:42,"Arm Day Copy",57min,"Triceps Extension",4,32.5,12.0,0,0.0,
2023-11-01 21:53:42,"Arm Day Copy",57min,"Triceps Extension",3,27.5,12.0,0,0.0,
2023-11-01 21:53:42,"Arm Day Copy",57min,"Triceps Extension",2,27.5,12.0,0,0.0,
2023-11-01 21:53:42,"Arm Day Copy",57min,"Triceps Extension",1,17.5,12.0,0,0.0,
2023-11-01 21:53:42,"Arm Day Copy",57min,"Bicep Curl (Cable)",3,15.0,12.0,0,0.0,
2023-11-01 21:53:42,"Arm Day Copy",57min,"Bicep Curl (Cable)",1,12.5,12.0,0,0.0,
2023-11-01 21:53:42,"Arm Day Copy",57min,"Bicep Curl (Cable)",2,12.5,12.0,0,0.0,
2023-11-01 21:53:42,"Arm Day Copy",57min,"Seated Row (Cable)",2,75.0,11.0,0,0.0,
2023-11-01 21:53:42,"Arm Day Copy",57min,"Seated Row (Cable)",3,75.0,9.0,0,0.0,
2023-11-01 21:53:42,"Arm Day Copy",57min,"Seated Row (Cable)",1,70.0,12.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Leg Press",4,277.0,8.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Leg Press",2,257.0,12.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Leg Press",1,257.0,12.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Leg Press",3,327.0,12.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Seated Leg Curl (Machine)",1,90.0,12.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Seated Leg Curl (Machine)",4,90.0,12.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Seated Leg Curl (Machine)",2,90.0,12.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Seated Leg Curl (Machine)",5,90.0,12.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Seated Leg Curl (Machine)",3,100.0,9.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Calf Press on Leg Press",4,397.0,16.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Calf Press on Leg Press",2,347.0,18.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Calf Press on Leg Press",3,347.0,18.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Calf Press on Leg Press",1,327.0,12.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Leg Extension (Machine)",2,80.0,12.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Leg Extension (Machine)",3,80.0,13.0,0,0.0,
2023-11-02 20:28:35,"Leg Day🦵",58min,"Leg Extension (Machine)",1,70.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Bench Press (Barbell)",3,95.0,8.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Bench Press (Barbell)",2,95.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Bench Press (Barbell)",1,65.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Bench Press (Barbell)",4,95.0,10.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Lateral Raise (Dumbbell)",3,10.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Lateral Raise (Dumbbell)",2,10.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Lateral Raise (Dumbbell)",1,10.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Bicep Curl (Cable)",3,30.0,10.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Bicep Curl (Cable)",2,30.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Bicep Curl (Cable)",1,35.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Triceps Extension",3,45.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Triceps Extension",1,35.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Triceps Extension",2,40.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Lat Pulldown (Cable)",1,70.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Lat Pulldown (Cable)",3,85.0,12.0,0,0.0,
2023-11-04 14:10:41,"Arm Day",1h 29min,"Lat Pulldown (Cable)",2,75.0,12.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Bench Press (Barbell)",1,65.0,12.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Bench Press (Barbell)",2,95.0,12.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Bench Press (Barbell)",4,95.0,7.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Bench Press (Barbell)",3,95.0,8.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Triceps Extension",1,45.0,12.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Triceps Extension",4,45.0,12.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Triceps Extension",3,50.0,11.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Triceps Extension",2,45.0,12.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Incline Curl (Dumbbell)",3,20.0,8.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Incline Curl (Dumbbell)",1,20.0,12.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Incline Curl (Dumbbell)",2,20.0,11.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Shoulder Press (Machine)",3,50.0,10.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Shoulder Press (Machine)",2,55.0,9.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Shoulder Press (Machine)",1,55.0,12.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Lateral Raise (Dumbbell)",1,10.0,12.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Lateral Raise (Dumbbell)",3,8.0,12.0,0,0.0,
2023-11-05 13:49:25,"Arm Day Copy",1h 34min,"Lateral Raise (Dumbbell)",2,10.0,12.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Chest Fly",3,90.0,5.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Chest Fly",2,90.0,8.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Chest Fly",4,80.0,7.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Chest Fly",1,70.0,12.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Seated Row (Cable)",3,70.0,7.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Seated Row (Cable)",2,75.0,8.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Seated Row (Cable)",1,70.0,12.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Bicep Curl (Cable)",1,12.5,12.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Bicep Curl (Cable)",2,12.5,12.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Bicep Curl (Cable)",3,12.5,10.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Triceps Dip (Assisted)",1,45.0,12.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Triceps Dip (Assisted)",3,50.0,12.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Triceps Dip (Assisted)",2,45.0,12.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Pull Up (Assisted)",1,45.0,12.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Pull Up (Assisted)",3,50.0,8.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Pull Up (Assisted)",2,45.0,8.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Lateral Raise (Dumbbell)",3,7.5,12.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Lateral Raise (Dumbbell)",2,7.5,12.0,0,0.0,
2023-11-10 17:29:19,"Arm Day",1h 6min,"Lateral Raise (Dumbbell)",1,7.5,12.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Leg Press",4,257.0,12.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Leg Press",3,257.0,12.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Leg Press",2,257.0,12.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Leg Press",1,257.0,12.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Seated Leg Curl (Machine)",1,100.0,12.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Seated Leg Curl (Machine)",4,100.0,6.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Seated Leg Curl (Machine)",2,100.0,10.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Seated Leg Curl (Machine)",5,90.0,7.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Seated Leg Curl (Machine)",3,100.0,10.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Seated Calf Raise (Machine)",3,280.0,10.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Seated Calf Raise (Machine)",1,260.0,12.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Seated Calf Raise (Machine)",2,260.0,12.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Iso-Lateral Chest Press (Machine)",1,70.0,12.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Iso-Lateral Chest Press (Machine)",3,115.0,12.0,0,0.0,
2023-11-11 20:10:10,"Leg Day🦵",58min,"Iso-Lateral Chest Press (Machine)",2,90.0,12.0,0,0.0,
2023-11-13 22:12:58,"Arm Day",53min,"Bench Press (Dumbbell)",4,80.0,8.0,0,0.0,
